order_date,country,device_type,traffic_source,product_category,previous_orders,avg_order_value_eur,order_value_eur,quantity,discount_rate,shipping_distance_km,review_score,risk_label
2024-05-14,Netherlands,True,Social Media,7,1,74.26,62.67,2,0.11,137.5,4.7,False
2025-04-16,Belgium,False,Paid Ads,5,0,17.72,25.1,7,0.04,321.6,5.0,False
2023-04-23,Belgium,True,Marketplace,3,2,64.05,94.27,2,0.29,1153.0,2.2,True
2025-02-17,Belgium,True,Email,1,2,30.65,29.39,2,0.18,255.2,5.0,False
2023-03-01,Netherlands,True,Paid Ads,0,2,21.05,19.86,4,0.02,168.6,3.9,False
2025-07-04,Poland,False,Social Media,3,2,47.34,32.19,2,0.2,153.3,4.5,False
2025-11-09,Spain,False,Marketplace,3,5,30.49,20.79,1,0.2,615.6,5.0,False
2024-05-02,France,False,Marketplace,6,0,28.91,23.26,3,0.06,398.7,5.0,False
2023-06-10,France,False,Social Media,3,7,20.48,16.81,1,0.01,445.9,3.9,False
2023-06-19,Netherlands,False,Paid Ads,7,3,67.97,81.99,2,0.22,254.2,4.0,False
2025-04-28,France,True,Paid Ads,2,6,34.46,59.28,4,0.46,601.5,4.3,False
2025-04-24,Turkey,False,Organic Search,6,3,42.08,19.43,1,0.06,136.8,4.5,False
2023-12-15,Netherlands,False,Direct,2,0,63.25,126.17,2,0.0,694.4,3.4,True
2025-10-30,Netherlands,False,Email,5,1,28.44,6.38,1,0.16,410.4,4.6,False
2024-11-06,Spain,False,Social Media,0,1,44.4,42.8,3,0.04,493.4,5.0,False
2023-03-13,Poland,False,Email,7,3,25.9,34.17,2,0.07,242.2,5.0,False
2025-02-19,France,True,Paid Ads,7,4,97.72,88.25,1,0.13,181.2,4.1,False
2025-06-08,Netherlands,True,Organic Search,1,1,28.08,19.4,2,0.26,789.8,3.6,False
2025-12-18,France,False,Organic Search,2,0,50.51,145.36,6,0.04,157.9,4.3,False
2024-12-08,Netherlands,False,Email,7,4,48.1,68.33,7,0.03,865.5,4.4,False
2023-10-03,Italy,False,Paid Ads,7,0,47.04,25.42,1,0.03,338.6,4.8,False
2023-05-26,Spain,False,Organic Search,1,6,24.73,16.26,1,0.05,296.4,5.0,False
2024-11-30,Turkey,False,Paid Ads,2,6,28.42,53.63,1,0.1,1466.9,3.8,True
2024-08-29,Netherlands,True,Direct,5,4,40.31,36.65,1,0.19,614.7,3.0,True
2025-08-01,Turkey,False,Paid Ads,4,4,59.04,52.02,1,0.28,832.0,4.0,False
2025-06-09,Belgium,True,Organic Search,5,4,35.28,22.63,1,0.08,431.2,4.4,False
2023-09-01,Netherlands,True,Paid Ads,3,5,29.35,62.08,3,0.16,275.8,5.0,False
2025-01-16,Netherlands,False,Organic Search,5,0,35.84,43.68,1,0.29,230.5,5.0,True
2025-12-05,Poland,False,Organic Search,1,1,65.7,94.12,1,0.4,498.6,3.7,False
2025-03-07,Spain,True,Marketplace,3,3,26.9,19.88,1,0.24,484.7,4.2,False
2025-08-18,Belgium,True,Direct,7,2,26.02,51.83,1,0.06,620.7,4.9,False
2024-03-19,Netherlands,True,Direct,2,5,48.78,125.0,1,0.05,594.5,4.9,False
2025-04-10,Spain,True,Organic Search,6,7,25.24,10.2,1,0.27,247.0,4.6,False
2024-10-30,Italy,True,Paid Ads,5,2,19.1,11.96,2,0.13,307.5,4.4,False
2025-04-14,Germany,True,Organic Search,4,1,29.94,80.4,1,0.08,1433.2,4.5,False
2024-12-10,Germany,False,Direct,7,1,13.49,11.61,2,0.06,55.8,5.0,False
2024-08-02,Germany,False,Organic Search,3,2,57.04,117.56,4,0.27,368.6,4.5,False
2025-03-10,Germany,False,Organic Search,1,1,72.73,103.17,1,0.09,507.1,4.4,False
2025-05-01,Germany,False,Organic Search,4,0,98.4,92.44,4,0.31,217.3,3.2,True
2024-09-23,Poland,False,Social Media,6,3,29.65,13.39,3,0.06,816.9,4.3,False
2025-08-12,Spain,False,Organic Search,1,2,73.42,57.07,2,0.15,418.3,2.6,True
2024-10-24,Belgium,True,Email,5,0,25.15,22.8,2,0.28,370.4,5.0,False
2024-09-04,France,False,Social Media,2,3,20.98,67.27,2,0.09,928.2,3.2,True
2024-07-31,Germany,False,Email,4,3,153.03,79.52,1,0.27,407.8,4.9,False
2025-05-19,Netherlands,True,Paid Ads,0,1,41.11,92.78,1,0.08,156.5,4.5,False
2024-12-15,Netherlands,False,Organic Search,1,0,24.71,78.97,1,0.15,409.7,5.0,False
2023-08-13,Belgium,True,Social Media,1,4,103.37,89.58,2,0.05,394.2,5.0,False
2025-06-03,Turkey,True,Social Media,2,1,36.45,97.5,2,0.29,933.5,4.4,False
2024-12-17,France,False,Organic Search,2,2,20.07,41.7,1,0.53,273.6,2.4,True
2024-11-05,Netherlands,False,Paid Ads,4,2,86.64,59.61,2,0.5,814.7,3.8,False
2025-03-10,Netherlands,True,Direct,7,0,23.98,49.11,3,0.33,128.8,2.8,True
2025-06-18,Germany,False,Marketplace,1,0,28.65,27.84,2,0.19,48.6,4.5,False
2023-01-29,Italy,False,Marketplace,4,5,21.71,19.67,1,0.01,349.0,3.9,False
2025-10-15,Belgium,False,Organic Search,3,2,61.92,118.69,2,0.15,474.5,4.3,False
2025-09-16,France,False,Paid Ads,3,1,82.83,88.28,1,0.05,553.8,4.3,False
2023-05-19,Germany,False,Paid Ads,1,0,33.31,35.53,6,0.02,297.6,5.0,False
2023-07-07,Netherlands,False,Social Media,1,0,74.52,62.09,2,0.05,164.4,4.5,False
2024-12-13,Netherlands,False,Organic Search,3,6,30.11,31.09,4,0.24,215.8,4.1,False
2025-07-29,Turkey,False,Paid Ads,6,0,55.36,71.78,1,0.19,353.1,4.7,False
2023-10-31,Netherlands,False,Paid Ads,6,2,77.2,92.76,1,0.36,395.4,2.8,True
2025-03-29,Turkey,True,Marketplace,2,1,32.2,110.78,1,0.22,333.0,4.2,True
2023-09-16,Poland,False,Marketplace,4,5,76.57,40.2,1,0.01,1290.2,2.7,True
2024-04-17,Italy,False,Social Media,3,0,37.56,13.94,1,0.21,1563.0,4.6,False
2024-09-10,Netherlands,True,Organic Search,0,2,117.59,262.95,1,0.04,182.8,4.4,False
2023-02-05,Netherlands,True,Direct,0,3,38.43,67.11,1,0.04,464.8,4.7,False
2025-05-02,Germany,False,Organic Search,1,2,80.68,168.49,1,0.13,89.0,4.6,False
2024-04-01,Turkey,False,Paid Ads,3,1,50.73,82.65,3,0.17,238.8,4.8,False
2023-05-19,Poland,False,Social Media,3,2,34.15,33.69,2,0.18,430.7,3.9,False
2025-03-17,Italy,True,Email,3,1,46.45,41.06,2,0.35,1545.3,3.1,False
2025-05-04,Netherlands,False,Social Media,0,3,170.01,200.11,1,0.07,334.3,4.3,False
2023-06-05,Netherlands,False,Paid Ads,4,4,45.49,36.85,4,0.23,1131.4,4.5,False
2024-10-15,Turkey,False,Direct,1,1,37.93,35.88,3,0.09,122.3,5.0,False
2024-07-06,France,True,Organic Search,0,4,40.57,34.72,1,0.07,995.1,4.1,False
2023-08-25,France,True,Direct,6,4,58.68,51.7,5,0.37,293.2,5.0,False
2024-06-12,France,False,Organic Search,0,3,33.33,64.87,2,0.03,672.4,4.8,False
2023-12-14,France,False,Marketplace,6,1,46.6,66.39,3,0.09,1146.9,4.4,False
2024-01-20,Netherlands,True,Email,3,1,28.59,38.83,1,0.09,156.1,4.8,False
2023-06-25,Netherlands,True,Organic Search,2,6,61.34,148.76,1,0.25,267.9,5.0,False
2024-08-20,Netherlands,True,Marketplace,3,2,91.26,166.52,1,0.05,142.6,4.7,True
2025-09-19,Netherlands,True,Marketplace,4,5,15.29,9.15,1,0.12,297.7,4.3,False
2025-05-30,Netherlands,True,Organic Search,1,1,31.69,33.64,1,0.15,168.0,4.7,False
2025-01-06,Germany,False,Direct,3,0,42.9,26.16,2,0.16,1243.1,4.7,False
2024-04-15,France,True,Social Media,3,0,25.08,41.37,1,0.11,974.5,4.5,False
2023-05-28,Netherlands,True,Paid Ads,0,0,20.6,21.78,3,0.2,611.3,4.7,False
2025-09-06,Spain,False,Paid Ads,4,0,41.62,46.91,2,0.16,634.5,4.2,False
2025-07-11,Germany,True,Paid Ads,3,1,14.98,59.66,2,0.11,470.1,5.0,False
2024-06-15,Poland,False,Marketplace,7,0,53.0,28.74,2,0.13,370.0,3.3,True
2024-04-27,France,False,Social Media,3,1,34.09,44.12,2,0.09,210.3,4.0,False
2024-02-02,Netherlands,False,Paid Ads,5,2,63.62,56.14,3,0.09,715.9,4.5,False
2023-08-25,Netherlands,False,Marketplace,7,6,56.53,48.49,2,0.35,1302.6,4.1,False
2024-04-25,Poland,False,Social Media,3,4,42.4,90.17,1,0.42,791.3,4.6,False
2024-10-26,Spain,False,Direct,6,0,72.37,46.54,3,0.1,354.9,4.1,False
2025-03-24,Italy,True,Email,4,1,15.12,7.7,1,0.07,323.4,3.9,False
2023-01-29,Belgium,False,Organic Search,1,4,75.6,50.01,2,0.16,266.9,5.0,False
2025-08-27,France,True,Email,1,0,61.9,51.16,1,0.07,366.2,4.6,False
2024-08-20,France,False,Organic Search,2,0,51.14,129.59,1,0.02,342.5,4.7,True
2024-07-19,Netherlands,True,Organic Search,7,1,51.7,22.82,1,0.2,447.3,3.4,False
2025-08-20,France,False,Social Media,3,1,45.81,42.65,8,0.19,191.7,5.0,False
2025-06-16,Netherlands,False,Marketplace,6,3,99.9,80.66,1,0.39,198.0,4.2,False
2023-03-27,Belgium,True,Paid Ads,0,0,23.95,35.42,1,0.07,811.0,5.0,False
2023-03-13,Belgium,False,Social Media,3,0,13.85,31.56,2,0.12,348.1,3.7,False
2025-07-05,France,False,Marketplace,4,0,21.42,21.1,2,0.03,260.0,3.8,False
2024-04-16,Netherlands,True,Marketplace,3,0,50.96,88.59,1,0.03,104.3,5.0,False
2023-01-22,France,True,Organic Search,3,2,63.87,160.26,1,0.09,1194.9,4.0,False
2024-06-22,Germany,False,Paid Ads,4,3,41.95,52.75,2,0.04,471.4,5.0,False
2023-07-13,Germany,False,Email,4,2,40.85,34.0,1,0.09,1184.4,4.7,False
2023-01-09,Netherlands,True,Direct,4,1,104.15,80.71,2,0.26,1464.6,4.2,False
2025-10-29,Germany,False,Marketplace,6,5,64.97,43.91,2,0.03,482.9,4.7,False
2024-11-20,Turkey,False,Social Media,7,1,45.71,35.29,3,0.07,927.4,3.4,False
2023-10-08,Netherlands,False,Email,2,0,44.65,33.9,3,0.17,365.0,4.7,False
2023-11-26,Poland,False,Organic Search,0,2,39.88,46.08,3,0.2,376.3,4.4,False
2025-08-04,Netherlands,False,Organic Search,3,1,22.89,24.42,7,0.07,439.1,5.0,False
2023-05-05,Germany,True,Marketplace,0,0,64.54,152.27,2,0.13,696.2,4.1,False
2023-04-26,Turkey,False,Social Media,2,0,84.23,61.11,1,0.04,71.8,5.0,False
2025-06-16,Germany,False,Paid Ads,3,0,35.18,85.99,4,0.2,157.0,5.0,True
2023-07-28,Belgium,False,Organic Search,5,0,54.62,20.92,1,0.25,439.5,4.3,False
2023-01-01,Turkey,True,Marketplace,6,1,32.82,19.53,1,0.02,969.4,3.5,False
2025-04-24,Netherlands,True,Organic Search,7,1,53.87,39.21,3,0.09,386.4,5.0,False
2023-11-03,Italy,False,Paid Ads,2,0,19.43,68.45,4,0.14,402.6,4.7,False
2024-01-22,Italy,False,Organic Search,3,0,19.27,37.28,1,0.15,695.9,4.9,True
2023-07-07,Spain,False,Marketplace,2,0,21.16,39.51,4,0.16,508.0,3.4,True
2024-06-09,Spain,False,Social Media,2,2,33.76,87.65,1,0.23,491.6,4.0,False
2024-10-01,Spain,False,Organic Search,5,6,77.76,65.0,1,0.07,116.7,4.7,False
2024-12-19,Netherlands,False,Social Media,1,7,58.14,41.48,1,0.23,516.3,5.0,False
2025-07-05,Netherlands,False,Organic Search,3,1,84.28,127.47,2,0.03,398.5,3.0,True
2025-04-12,Belgium,False,Social Media,7,1,46.08,24.52,2,0.17,493.8,3.9,False
2025-07-17,Poland,False,Social Media,0,0,20.32,51.46,1,0.15,302.4,3.2,True
2024-07-19,Belgium,False,Social Media,0,1,59.48,37.9,1,0.05,431.6,3.9,False
2024-11-28,Poland,True,Direct,3,3,35.85,42.03,1,0.03,749.2,4.5,False
2023-05-21,Italy,False,Paid Ads,6,2,22.1,18.7,1,0.26,1115.2,4.5,False
2023-12-06,Poland,True,Marketplace,2,1,75.49,231.83,4,0.26,585.7,3.9,False
2025-07-01,Italy,True,Email,1,4,68.8,35.23,1,0.27,136.5,5.0,False
2025-11-06,France,True,Social Media,5,0,32.21,10.76,1,0.08,1131.0,4.3,False
2025-12-15,Belgium,True,Social Media,0,0,53.25,34.9,1,0.18,190.1,5.0,False
2025-05-06,Germany,True,Organic Search,3,1,23.41,20.59,4,0.27,200.0,5.0,False
2024-01-29,Germany,True,Organic Search,1,0,64.22,128.99,1,0.03,180.2,4.1,False
2025-04-20,Germany,False,Direct,4,2,55.45,28.52,1,0.13,540.8,4.7,False
2024-06-10,Spain,False,Organic Search,3,0,62.49,95.05,1,0.16,458.0,4.9,False
2025-08-27,Germany,True,Social Media,1,2,119.4,122.52,2,0.06,298.6,4.7,False
2024-04-22,Germany,False,Organic Search,2,0,26.0,27.06,1,0.22,589.5,3.7,True
2024-06-16,Netherlands,True,Social Media,7,0,41.0,46.92,1,0.02,895.1,5.0,True
2024-09-16,France,False,Organic Search,3,6,51.33,18.99,2,0.04,285.1,4.6,False
2023-02-25,Netherlands,False,Paid Ads,2,4,24.34,50.11,1,0.17,213.6,4.8,False
2025-08-13,France,False,Paid Ads,4,9,32.94,22.79,4,0.04,376.6,5.0,False
2023-10-29,Belgium,True,Direct,4,6,27.19,25.96,1,0.08,279.1,4.4,False
2024-07-09,Spain,False,Organic Search,3,7,70.87,154.66,1,0.23,984.1,4.3,False
2023-01-03,Germany,True,Organic Search,7,4,45.88,46.51,3,0.09,232.7,4.4,False
2023-07-13,Netherlands,True,Social Media,4,0,64.57,42.18,1,0.0,861.5,4.1,False
2024-05-22,Germany,True,Organic Search,5,2,34.91,24.73,1,0.09,837.1,5.0,False
2025-07-06,Spain,True,Paid Ads,6,0,45.75,28.67,1,0.22,327.6,5.0,False
2024-12-23,Belgium,True,Marketplace,6,2,41.67,35.07,1,0.08,814.4,4.4,False
2023-05-14,Spain,True,Email,3,3,73.69,145.74,1,0.19,434.2,4.0,False
2025-08-03,Netherlands,False,Organic Search,2,3,39.93,72.93,8,0.18,151.2,3.7,True
2024-01-17,France,True,Organic Search,3,1,46.26,111.95,1,0.16,908.3,5.0,False
2025-07-31,Netherlands,False,Social Media,7,0,45.62,21.0,1,0.05,227.6,5.0,False
2024-06-20,Italy,True,Paid Ads,2,0,34.99,64.67,1,0.3,357.1,4.8,False
2023-03-11,France,False,Organic Search,6,1,50.45,37.13,1,0.06,421.4,5.0,False
2025-04-27,Belgium,False,Paid Ads,1,0,25.05,16.59,2,0.03,324.8,4.6,False
2025-04-14,Spain,False,Organic Search,6,0,105.53,71.75,1,0.22,225.4,3.8,True
2023-11-04,Italy,False,Paid Ads,5,0,176.54,66.61,1,0.03,1512.8,3.8,False
2023-05-02,Belgium,False,Organic Search,4,6,31.46,36.0,2,0.24,360.7,4.6,False
2025-08-31,Italy,False,Organic Search,0,2,46.83,65.45,1,0.22,268.9,4.4,False
2025-10-07,Netherlands,False,Direct,7,1,33.6,19.9,1,0.61,373.3,3.9,False
2024-02-25,France,True,Social Media,7,6,59.0,65.8,5,0.15,375.4,4.5,False
2023-11-10,Netherlands,False,Paid Ads,2,0,65.89,129.57,2,0.36,1073.4,4.6,False
2023-07-08,Turkey,False,Social Media,3,0,23.32,19.51,4,0.02,458.4,5.0,False
2025-07-26,France,True,Organic Search,4,0,12.38,8.02,2,0.13,652.1,4.8,False
2024-10-01,Belgium,False,Organic Search,5,2,73.15,44.4,1,0.19,590.1,4.7,False
2023-08-06,France,False,Organic Search,3,3,38.57,49.68,1,0.14,597.9,4.1,False
2025-06-17,Italy,False,Paid Ads,4,0,21.49,22.71,2,0.1,1260.6,3.7,False
2023-06-11,Germany,True,Paid Ads,3,3,15.74,34.36,5,0.06,185.5,4.5,False
2023-04-15,Germany,True,Paid Ads,7,9,39.21,25.75,1,0.12,83.9,3.8,False
2025-08-13,Belgium,False,Direct,7,1,40.85,52.95,1,0.13,99.3,4.5,False
2025-02-19,Germany,False,Direct,3,3,90.48,154.71,6,0.07,267.4,4.5,False
2023-08-12,Turkey,True,Paid Ads,2,0,65.18,118.05,3,0.24,483.1,3.2,True
2024-11-13,Belgium,False,Marketplace,5,0,134.93,104.25,1,0.26,37.8,4.4,False
2023-06-01,Germany,False,Paid Ads,3,0,65.72,58.46,2,0.22,581.9,4.6,False
2023-06-22,Belgium,False,Social Media,7,3,52.89,21.53,1,0.44,328.3,4.5,False
2025-04-27,Netherlands,False,Email,6,0,46.98,47.91,3,0.13,265.7,4.6,True
2024-01-09,Netherlands,False,Email,7,0,51.4,24.77,1,0.48,603.7,5.0,False
2025-12-10,Netherlands,False,Social Media,4,0,99.79,110.14,1,0.2,371.4,4.4,False
2024-06-21,Germany,False,Paid Ads,2,0,27.51,91.11,1,0.05,449.2,4.2,False
2023-02-08,Netherlands,False,Marketplace,7,5,16.27,6.58,1,0.28,487.2,4.4,False
2024-04-22,Germany,True,Paid Ads,0,3,38.98,47.5,6,0.14,390.3,4.2,False
2024-02-27,Belgium,True,Paid Ads,2,0,19.09,29.07,2,0.25,312.7,5.0,True
2024-04-22,Belgium,True,Paid Ads,1,0,23.89,12.88,1,0.09,606.3,3.9,False
2025-04-20,France,False,Marketplace,6,1,26.03,19.66,1,0.02,89.2,4.6,False
2024-01-28,Spain,False,Paid Ads,6,0,30.56,17.35,1,0.12,301.1,4.8,False
2025-07-30,Germany,True,Direct,4,2,64.78,25.15,4,0.13,1120.2,4.1,False
2024-09-11,Turkey,False,Organic Search,7,1,76.62,32.96,1,0.04,252.5,3.8,True
2024-08-09,Netherlands,False,Organic Search,1,1,48.09,44.77,2,0.09,286.5,4.5,False
2023-08-10,Italy,True,Paid Ads,2,1,28.07,49.41,1,0.38,419.9,4.1,True
2025-11-01,Netherlands,True,Paid Ads,7,2,37.62,40.66,1,0.05,827.5,4.7,False
2024-09-19,Belgium,True,Paid Ads,3,4,51.58,60.69,3,0.34,653.6,4.4,False
2023-01-21,Germany,True,Marketplace,2,4,108.59,55.01,1,0.23,279.8,4.2,False
2025-12-27,Poland,True,Organic Search,2,3,37.22,66.18,2,0.19,243.9,4.1,False
2024-07-31,Netherlands,True,Organic Search,3,2,45.13,52.37,1,0.11,1026.0,4.8,False
2024-04-08,Belgium,False,Marketplace,6,5,51.71,40.53,1,0.35,306.8,5.0,False
2025-06-18,Netherlands,True,Organic Search,5,1,39.47,29.52,4,0.0,585.6,4.8,False
2024-07-21,Netherlands,True,Organic Search,4,5,72.18,40.27,1,0.07,192.2,4.6,False
2023-12-02,Spain,False,Social Media,7,0,79.79,59.95,1,0.28,121.0,4.5,False
2023-03-24,Netherlands,True,Social Media,3,3,60.92,85.68,1,0.43,163.6,5.0,False
2024-12-30,Belgium,False,Organic Search,4,7,44.81,31.61,2,0.14,1437.8,4.1,False
2024-10-10,Belgium,True,Social Media,3,0,141.38,63.25,1,0.22,572.1,3.9,False
2025-11-22,Germany,False,Social Media,2,0,41.61,75.0,1,0.01,281.7,4.1,False
2023-04-14,Netherlands,True,Paid Ads,3,1,37.36,70.7,5,0.3,211.2,4.3,False
2024-11-30,Netherlands,True,Paid Ads,3,0,47.43,51.51,1,0.1,161.9,4.6,True
2024-11-18,Netherlands,True,Paid Ads,6,1,62.23,91.98,1,0.19,345.0,4.8,True
2024-08-19,Turkey,True,Organic Search,2,1,26.43,79.61,8,0.07,46.0,5.0,False
2024-04-28,Belgium,True,Organic Search,0,0,63.48,104.02,2,0.04,440.8,4.2,False
2023-04-21,Spain,False,Direct,2,4,22.51,30.93,1,0.05,230.8,3.9,False
2023-08-21,Germany,True,Marketplace,2,1,40.27,57.42,1,0.23,492.7,4.8,False
2024-04-27,Poland,False,Marketplace,6,0,30.88,24.65,1,0.16,219.8,4.7,True
2025-01-26,Belgium,False,Marketplace,5,1,15.11,5.0,2,0.14,172.7,3.8,True
2024-08-21,Netherlands,True,Paid Ads,1,3,43.98,45.05,2,0.25,537.8,3.8,False
2024-02-23,Netherlands,False,Direct,7,4,53.51,79.21,1,0.11,196.8,4.2,False
2023-06-19,Belgium,True,Direct,7,1,70.94,56.38,1,0.11,197.6,5.0,False
2025-02-25,Poland,True,Direct,3,1,72.73,48.06,1,0.37,495.1,5.0,False
2025-08-06,Germany,True,Social Media,3,5,48.68,48.85,1,0.17,289.7,4.3,False
2023-10-10,Netherlands,True,Email,6,0,58.1,110.16,1,0.15,866.1,3.7,True
2025-12-04,Germany,True,Direct,2,0,27.72,27.67,2,0.13,128.9,4.6,False
2025-11-15,Turkey,True,Paid Ads,6,0,54.69,40.82,1,0.02,240.5,4.4,False
2023-04-09,Italy,False,Social Media,0,0,33.37,60.28,2,0.14,249.0,4.3,False
2024-03-07,Belgium,True,Direct,5,2,45.66,22.64,1,0.23,641.3,5.0,False
2023-11-27,Netherlands,False,Paid Ads,3,0,58.73,188.0,7,0.14,90.8,5.0,False
2024-02-11,Spain,True,Direct,4,2,22.12,26.02,1,0.12,963.2,4.6,False
2024-09-29,Germany,False,Organic Search,0,2,39.25,61.36,2,0.23,843.8,4.6,False
2023-08-15,Netherlands,False,Social Media,3,2,34.76,31.69,2,0.23,902.7,3.3,True
2023-06-13,Italy,False,Direct,5,3,33.49,14.03,2,0.13,720.2,4.1,False
2023-03-07,Belgium,False,Organic Search,3,1,22.37,23.87,1,0.27,167.4,4.5,False
2024-03-11,France,False,Organic Search,3,5,62.64,44.01,1,0.09,1111.0,4.5,False
2023-05-27,Netherlands,True,Paid Ads,5,5,22.25,29.75,1,0.08,162.6,5.0,False
2025-09-12,Belgium,True,Marketplace,7,3,77.32,252.07,3,0.1,499.6,4.0,False
2024-05-18,Belgium,False,Organic Search,0,1,48.85,64.87,3,0.32,539.2,4.9,False
2024-10-11,Turkey,False,Social Media,2,4,59.05,152.89,2,0.03,1387.5,5.0,False
2024-10-23,Netherlands,False,Direct,2,3,16.28,37.74,1,0.12,200.1,4.9,False
2025-09-14,Germany,False,Paid Ads,2,2,80.87,161.05,1,0.45,129.3,5.0,False
2023-09-10,Netherlands,False,Paid Ads,1,4,34.57,24.15,1,0.24,133.0,4.6,False
2023-05-23,Belgium,False,Direct,0,1,82.24,92.58,2,0.16,309.7,4.6,False
2025-05-05,Belgium,False,Social Media,4,3,49.21,28.93,1,0.14,573.4,4.6,False
2025-11-09,Netherlands,True,Social Media,7,1,24.97,15.2,2,0.08,579.0,4.1,False
2024-10-20,Germany,True,Paid Ads,3,2,54.26,100.11,4,0.11,442.4,5.0,False
2023-09-05,Belgium,False,Paid Ads,0,4,95.37,59.91,1,0.18,449.4,4.6,False
2023-11-30,Netherlands,True,Organic Search,2,0,27.74,25.97,1,0.2,108.1,4.6,False
2023-11-28,Netherlands,True,Organic Search,3,2,21.24,39.29,1,0.36,455.0,5.0,False
2024-05-01,Netherlands,False,Organic Search,1,2,43.86,53.51,2,0.13,410.5,4.4,False
2025-02-06,Belgium,False,Organic Search,7,1,74.0,20.24,1,0.06,103.3,4.8,False
2025-02-17,Germany,False,Paid Ads,5,0,31.11,23.34,2,0.0,384.0,4.2,False
2025-08-11,Italy,False,Paid Ads,7,0,26.21,12.53,2,0.05,553.1,3.9,False
2023-07-24,Spain,False,Organic Search,4,3,48.54,20.1,1,0.13,268.8,4.2,False
2023-10-17,Netherlands,False,Marketplace,3,2,18.96,8.89,5,0.01,130.0,4.7,False
2025-06-11,Netherlands,True,Organic Search,1,2,39.89,68.68,1,0.23,630.5,4.0,False
2025-11-09,Netherlands,True,Organic Search,5,0,23.55,37.45,1,0.16,123.7,5.0,False
2025-11-08,Poland,False,Social Media,5,2,40.5,21.24,2,0.12,856.8,4.5,False
2023-03-02,Belgium,False,Organic Search,7,0,78.89,56.66,5,0.08,425.6,5.0,False
2024-11-28,Belgium,True,Email,5,4,35.98,9.54,1,0.21,163.5,4.8,False
2025-02-19,Spain,False,Paid Ads,3,0,22.73,47.65,3,0.0,162.4,4.2,False
2025-07-13,Spain,False,Marketplace,3,0,58.46,83.94,4,0.19,237.0,4.9,False
2024-07-07,France,True,Direct,0,3,40.25,22.48,2,0.26,418.0,4.6,False
2023-11-16,Netherlands,False,Organic Search,0,1,55.5,40.0,2,0.01,273.6,3.9,False
